id,title,poster
tt0066921,A Clockwork Orange (1971),"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0330536,A Colt Is My Passport (1967),"https://m.media-amazon.com/images/M/MV5BMTI5MTE0NjQ5N15BMl5BanBnXkFtZTcwMDI1OTc1MQ@@._V1_QL75_UY281_CR3,0,190,281_.jpg"
tt1037033,A Complete History of My Sexual Failures (2008),"https://m.media-amazon.com/images/M/MV5BMTA3MzAxMTQzODdeQTJeQWpwZ15BbWU4MDIyNTY3MDMx._V1_QL75_UY281_CR5,0,190,281_.jpg"
tt2404523,A Confederacy of Dunces,
tt2098799,A Country Christmas (2013),"https://m.media-amazon.com/images/M/MV5BODkxNjEyNjg4NV5BMl5BanBnXkFtZTgwMjM0MTUwMDE@._V1_QL75_UY281_CR5,0,190,281_.jpg"
tt4731136,A Cure for Wellness (2016),"https://m.media-amazon.com/images/M/MV5BMTg5Njg1MzIwNl5BMl5BanBnXkFtZTgwNDU1NjczMDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt1571222,A Dangerous Method (2011),"https://m.media-amazon.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt4805316,A Dark Song (2016),"https://m.media-amazon.com/images/M/MV5BMTEzNDk1MzM4MDleQTJeQWpwZ15BbWU4MDM2NTI4ODEy._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0028772,A Day at the Races (1937),"https://m.media-amazon.com/images/M/MV5BM2FiNzA2YmMtYTVmZC00ZWVlLTk3ZjctNzY5MTBiOTI1ZWE0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,6,190,281_.jpg"
tt0221902,A Day of Judgment (1981),"https://m.media-amazon.com/images/M/MV5BMTcwNjkzNTc0NV5BMl5BanBnXkFtZTYwMjgwMzg5._V1_QL75_UX190_CR0,6,190,281_.jpg"
tt0377744,A Day Without a Mexican (2004),"https://m.media-amazon.com/images/M/MV5BMTk3NTIwNTUwNl5BMl5BanBnXkFtZTYwMzIwOTk2._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0270317,A Diva's Christmas Carol (TV Movie 2000),"https://m.media-amazon.com/images/M/MV5BMTI1NjYxOTYxOF5BMl5BanBnXkFtZTcwOTgwMzYyMQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
tt0796314,A Dog's Breakfast (2007),"https://m.media-amazon.com/images/M/MV5BNDYxMTcyZTgtM2MzNS00YjEzLThiYmItN2IzZDYxZWM4NmFhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
